,Temp,Psi
0,8.105,-0.465306122
1,9.245,-1.379591837
2,10.55,-0.759183673
3,13.08,-1.608163265
4,16.51,-1.216326531
5,19.58,-1.510204082
6,19.245,-0.4
7,16.805,-1.248979592
8,16.105,-0.66122449
9,14.275,-1.151020408
10,13.145,-1.020408163
11,13.59,-0.595918367
12,14.33,-1.020408163
13,14.835,-0.563265306
14,15.775,-1.151020408
15,16.5,-0.432653061
16,16.885,-1.085714286
17,16.935,-1.836734694
18,15.98,-1.47755102
19,14.275,-1.706122449
20,15.485,-0.465306122
21,16.03,-0.432653061
22,15.89,-1.608163265
23,18.84,-0.791836735
24,20.135,-0.889795918
25,16.94,-0.759183673
26,16.515,-1.902040816
27,16.42,-0.726530612
28,17.48,-1.640816327
29,15.025,-2
30,14.99,-0.66122449
31,17.095,-1.640816327
32,17.925,-1.47755102
33,17.245,-1.902040816
34,17.49,-1.934693878
35,19.195,-1.379591837
36,17.765,-1.608163265
37,16.395,-1.967346939
38,18.655,-1.640816327
39,18.525,-0.595918367
40,17.48,-1.444897959
41,20.025,-1.542857143
42,21.97,-1.771428571
43,21.68,-0.628571429
44,21.23,-0.595918367
45,19.135,-0.497959184
46,16.85,-1.085714286
47,16.86,-1.444897959
48,16.695,-1.248979592
49,17.885,-1.575510204
50,15.99,-0.955102041
51,14.81,-1.608163265
52,12.52,-1.836734694
53,12.14,-0.4
54,13.955,-0.987755102
55,15.66,-0.791836735
56,14.845,-0.987755102
57,13.145,-1.183673469
58,12.2,-1.346938776
59,10.85,-0.530612245
60,10.095,-1.47755102
61,12.04,-0.66122449
62,14.14,-1.73877551
63,16.17,-0.563265306
64,19.025,-1.804081633
65,20.59,-1.281632653
66,17.69,-0.563265306
67,17.095,-1.151020408
68,19.44,-1.379591837
69,19.215,-0.465306122
70,20.24,-0.4
71,23.535,-1.412244898
72,24.895,-1.314285714
73,25.195,-0.497959184
74,24.07,-0.889795918
75,20.91,-0.791836735
76,17.33,-0.530612245
77,17.67,-0.759183673
78,19.575,-1.771428571
79,18.315,-0.824489796
80,16.625,-1.902040816
81,15.715,-1.836734694
82,17.015,-0.497959184
83,19.91,-0.465306122
84,23.725,-0.465306122
85,24.23,-1.510204082
86,21.695,-0.889795918
87,20.89,-1.673469388
88,20.42,-1.085714286
89,17.97,-1.869387755
90,17.145,-4.267626844
91,16.635,-3.535074054
92,20.355,-3.515717984
93,20.01,-3.421915493
94,15.905,-3.256644437
95,13.765,-2.801032336
96,12.85,-2.224817032
97,13.08,-2.601515926
98,16.185,-2.842722332
99,15.32,-3.22537694
100,16.445,-3.645254758
101,17.86,-3.703322967
102,18.44,-4.114267215
103,17.65,-4.124689714
104,18.885,-3.442760491
105,20.1,-2.943969466
106,20.415,-3.459138704
107,19.895,-4.056199006
108,18.735,-4.285493985
109,16.29,-4.313783625
110,13.845,-3.088395524
111,14.105,-3.214954441
112,13.98,-3.23431051
113,13.53,-3.043727671
114,13.13,-2.54940343
115,15.32,-3.533585126
116,20.64,-4.208069707
117,23.16,-4.814063579
118,24.71,-5.367944957
119,24.41,-5.53619387
120,24.305,-6.07816382
121,20.77,-5.534704942
122,17.7,-4.686015734
123,16.085,-4.188713637
124,14.52,-3.712256538
125,14.945,-3.664610828
126,12.55,-2.899301613
127,10.92,-1.785583144
128,13.125,-2.728074843
129,17.08,-4.272093629
130,19.425,-4.666659664
131,16.185,-4.361429335
132,14.905,-3.231332653
133,13.085,-2.658095206
134,13.51,-1.314595712
135,14.37,-2.133992397
136,15.33,-3.460627632
137,15.395,-3.521673698
138,15.835,-3.806059029
139,16.44,-4.039820793
140,15.265,-3.345980143
141,13.585,-2.957369822
142,15.01,-3.356402642
143,15.28,-3.887950093
144,15.63,-4.269115772
145,17.625,-4.26167113
146,17.88,-4.805130009
147,18.74,-5.169917475
148,20.26,-5.501948516
149,21.08,-5.792289561
150,19.295,-5.714865282
151,19.7,-5.719332068
152,18.955,-5.403679239
153,18.415,-4.948067138
154,17.015,-4.552012175
155,17.18,-4.150001498
156,18.08,-4.757484299
157,21.12,-5.796756346
158,25.12,-6.314903441
159,23.385,-5.691042427
160,20.58,-5.50790423
161,19.57,-5.832490629
162,18.83,-6.405728076
163,18.695,-6.448907
164,21.435,-6.573976989
165,22.92,-6.846450892
166,22.745,-6.62013377
167,22.76,-7.019166591
168,23.775,-7.42862191
169,24.115,-6.847939821
170,23.83,-6.897074459
171,22.425,-6.576954846
172,23.175,-6.74371483
173,23.415,-6.691602335
174,23.75,-6.849428749
175,23.73,-6.828583751
176,24.105,-6.518886637
177,22.95,-7.00129945
178,26.785,-7.279729067
179,26.255,-7.453933694
180,26.31,-7.291640494
181,24.24,-6.700535906
182,24.945,-6.947698026
183,23.57,-7.385442986
184,21.49,-7.383954057
185,20.65,-6.737759117
186,20.625,-6.632045198
187,20.36,-6.71542519
188,20.06,-5.890558837
189,19.17,-5.149072477
190,19.405,-5.015068918
191,20.37,-5.297965321
192,22.165,-6.139209886
193,23.44,-6.709469476
194,22.47,-6.670757337
195,22.05,-6.200255952
196,21.98,-6.361060223
197,23.775,-6.834539465
198,22.535,-5.066116709
199,24.715,-5.491415397
200,23.46,-6.037962752
201,22.115,-6.557598776
202,22.585,-6.227056664
203,23.11,-6.073697035
204,24.195,-6.387860935
205,25.245,-6.90600803
206,23.1,-6.901541244
207,21.795,-6.265768803
208,23.655,-6.429550931
209,24.425,-6.958120525
210,25.365,-7.523234907
211,25.16,-7.255906212
212,23.72,-7.123391581
213,23.795,-7.258884069
214,24.13,-7.238039071
215,25.405,-6.925364099
216,26.905,-7.27675121
217,23.97,-7.182948719
218,22.03,-6.923875171
219,21.545,-6.099008818
220,20.655,-6.37297165
221,21.17,-6.256835232
222,21.435,-6.414661646
223,25.085,-6.968543024
224,27.74,-7.759164023
225,28.805,-8.25646612
226,29.555,-8.347290754
227,28.895,-8.302622901
228,24.705,-7.556669756
229,23.63,-7.236550142
230,22.44,-6.721380904
231,22.825,-6.477196641
232,22.255,-6.645445554
233,23.05,-6.501019496
234,24.315,-6.764559829
235,25.26,-6.999810521
236,25.655,-6.9149416
237,27.8,-7.202304788
238,28.44,-7.520935473
239,29.68,-7.631116177
240,28.275,-7.897634367
241,25.78,-7.385442986
242,23.415,-6.682668765
243,22.405,-5.829512772
244,21.82,-6.005206327
245,20.99,-5.814623487
246,20.765,-5.768466706
247,21.62,-5.472169947
248,25.155,-6.160054884
249,27.68,-6.940253384
250,29.75,-7.37204263
251,30.11,-6.843473036
252,28.98,-6.632045198
253,28.565,-6.780938041
254,28.04,-6.648423411
255,26.065,-6.846450892
256,23.025,-5.89800348
257,20.865,-4.877508844
258,20.305,-4.873620717
259,21.105,-5.073137127
260,24.35,-5.656797073
261,26.12,-6.213656308
262,29.56,-6.600777701
263,25.225,-5.976916687
264,23.67,-5.851846698
265,24.85,-5.978405615
266,26.875,-6.724358761
267,27.27,-7.04894516
268,27.14,-6.984921237
269,26.05,-6.517397708
270,25.64,-6.301503085
271,23.935,-6.276191302
272,24.94,-6.037962752
273,23.77,-5.763999921
274,21.61,-5.318810319
