,Temp,Psi
0,8.105,-1.510204082
1,9.245,-1.902040816
2,10.55,-1.151020408
3,13.08,-1.771428571
4,16.51,-1.412244898
5,19.58,-0.693877551
6,19.245,-0.465306122
7,16.805,-1.510204082
8,16.105,-1.902040816
9,14.275,-0.563265306
10,13.145,-0.4
11,13.59,-0.759183673
12,14.33,-0.530612245
13,14.835,-0.595918367
14,15.775,-1.902040816
15,16.5,-0.465306122
16,16.885,-0.628571429
17,16.935,-1.836734694
18,15.98,-1.118367347
19,14.275,-0.889795918
20,15.485,-1.608163265
21,16.03,-1.412244898
22,15.89,-1.967346939
23,18.84,-1.771428571
24,20.135,-1.248979592
25,16.94,-1.412244898
26,16.515,-1.836734694
27,16.42,-1.248979592
28,17.48,-1.575510204
29,15.025,-1.542857143
30,14.99,-1.151020408
31,17.095,-0.987755102
32,17.925,-1.314285714
33,17.245,-0.693877551
34,17.49,-0.791836735
35,19.195,-1.47755102
36,17.765,-1.47755102
37,16.395,-1.902040816
38,18.655,-0.92244898
39,18.525,-0.987755102
40,17.48,-1.47755102
41,20.025,-1.47755102
42,21.97,-1.085714286
43,21.68,-0.497959184
44,21.23,-1.575510204
45,19.135,-1.869387755
46,16.85,-1.379591837
47,16.86,-1.346938776
48,16.695,-0.465306122
49,17.885,-0.595918367
50,15.99,-1.967346939
51,14.81,-0.465306122
52,12.52,-0.693877551
53,12.14,-1.771428571
54,13.955,-1.444897959
55,15.66,-1.510204082
56,14.845,-0.595918367
57,13.145,-0.530612245
58,12.2,-0.530612245
59,10.85,-0.726530612
60,10.095,-1.575510204
61,12.04,-1.967346939
62,14.14,-1.510204082
63,16.17,-0.563265306
64,19.025,-1.804081633
65,20.59,-1.314285714
66,17.69,-0.4
67,17.095,-1.804081633
68,19.44,-0.955102041
69,19.215,-1.085714286
70,20.24,-0.889795918
71,23.535,-0.563265306
72,24.895,-0.4
73,25.195,-0.824489796
74,24.07,-1.183673469
75,20.91,-0.497959184
76,17.33,-1.281632653
77,17.67,-0.889795918
78,19.575,-0.824489796
79,18.315,-0.4
80,16.625,-1.542857143
81,15.715,-0.791836735
82,17.015,-0.563265306
83,19.91,-1.836734694
84,23.725,-1.73877551
85,24.23,-1.248979592
86,21.695,-1.412244898
87,20.89,-0.857142857
88,20.42,-1.706122449
89,17.97,-1.444897959
90,17.145,-0.385017365
91,16.635,-0.385017365
92,20.355,-0.385017365
93,20.01,-0.385017365
94,15.905,-0.385017365
95,13.765,-0.385017365
96,12.85,-0.385017365
97,13.08,-0.385017365
98,16.185,-0.385017365
99,15.32,-0.385017365
100,16.445,-0.385017365
101,17.86,-0.680798245
102,18.44,-0.901159653
103,17.65,-0.56168397
104,18.885,-0.385017365
105,20.1,-0.385017365
106,20.415,-0.385017365
107,19.895,-0.415768984
108,18.735,-0.616774323
109,16.29,-0.385017365
110,13.845,-0.385017365
111,14.105,-0.385017365
112,13.98,-0.385017365
113,13.53,-0.385017365
114,13.13,-0.385017365
115,15.32,-0.385017365
116,20.64,-0.385017365
117,23.16,-0.689731816
118,24.71,-1.288281046
119,24.41,-1.642646014
120,24.305,-1.511620312
121,20.77,-1.018785
122,17.7,-0.385017365
123,16.085,-0.385017365
124,14.52,-0.385017365
125,14.945,-0.385017365
126,12.55,-0.385017365
127,10.92,-0.385017365
128,13.125,-0.385017365
129,17.08,-0.385017365
130,19.425,-0.385017365
131,16.185,-0.385017365
132,14.905,-0.385017365
133,13.085,-0.385017365
134,13.51,-0.385017365
135,14.37,-0.385017365
136,15.33,-0.385017365
137,15.395,-0.385017365
138,15.835,-0.385017365
139,16.44,-0.385017365
140,15.265,-0.385017365
141,13.585,-0.385017365
142,15.01,-0.385017365
143,15.28,-0.385017365
144,15.63,-0.385017365
145,17.625,-0.385017365
146,17.88,-0.430658268
147,18.74,-1.407395321
148,20.26,-2.108680614
149,21.08,-2.354353806
150,19.295,-2.138459183
151,19.7,-1.277858547
152,18.955,-0.726955027
153,18.415,-0.385017365
154,17.015,-0.385017365
155,17.18,-0.385017365
156,18.08,-0.385017365
157,21.12,-1.794516714
158,25.12,-2.964814464
159,23.385,-1.852584923
160,20.58,-1.124498919
161,19.57,-0.954761077
162,18.83,-2.276929527
163,18.695,-2.979703748
164,21.435,-3.274511578
165,22.92,-3.223888011
166,22.745,-3.037771957
167,22.76,-3.642276901
168,23.775,-3.262600151
169,24.115,-3.503806557
170,23.83,-3.78670296
171,22.425,-3.10179588
172,23.175,-3.217932298
173,23.415,-2.884412328
174,23.75,-3.091373381
175,23.73,-3.880505451
176,24.105,-3.685455826
177,22.95,-3.676522255
178,26.785,-3.021393744
179,26.255,-3.673544399
180,26.31,-3.57676405
181,24.24,-2.869173422
182,24.945,-2.573226285
183,23.57,-2.774231624
184,21.49,-3.231332653
185,20.65,-3.240266224
186,20.625,-3.174753373
187,20.36,-2.448156297
188,20.06,-1.14236606
189,19.17,-0.385017365
190,19.405,-0.385017365
191,20.37,-1.355282826
192,22.165,-2.238217388
193,23.44,-2.306708096
194,22.47,-2.071457403
195,22.05,-2.260551314
196,21.98,-2.708718773
197,23.775,-3.247710866
198,22.535,-1.168563592
199,24.715,-1.449897106
200,23.46,-1.785583144
201,22.115,-1.6366903
202,22.585,-1.40888425
203,23.11,-1.478863886
204,24.195,-1.536932095
205,25.245,-1.877896707
206,23.1,-2.110169542
207,21.795,-2.047634548
208,23.655,-2.600026997
209,24.425,-3.593142263
210,25.365,-2.592132722
211,25.16,-2.538980931
212,23.72,-2.83527769
213,23.795,-2.799543407
214,24.13,-2.923124468
215,25.405,-3.016926959
216,26.905,-3.094351238
217,23.97,-3.074995168
